,pos,neg
2478,"Скорость телефона в целом очень хорошая, также отмечу батарею которая имеет неплохой объём и время пользование 24часа и более, хороша камера, ",Непросто найти на него стекло 
2479,Камера хорошая памяти достаточно,Купил месяца не прошло звук стал проподать
2480,"Камера, батарея, работает быстро, отличный экран, красивый, очень понравился.","Оболочка ужасная, не очень хорошо снимает видео, нет беспроводной зарядки"
2481,"Камера - ????, зарядка быстрая, в руке приятный, распознавание физиономии моментально, 128 гб - вполне... ",Не нахожу... 
2482,Нет,"Кусок г китайского. По всем параметрам, сборка, скорость, эргономика. Собран из г. И палок, и палок минимум"
2483,Отлично работает,"Все отлично. Работает,но можно чисто из принципа 1гиг оперативный добавить что бы не 2,а 3г,было"
2484,"Быстрый процессор, хорошая камера.","Много всплывающего спама, особенно в сравнении с IOS."
2485,"Память. Большой объем памяти очень радует, лично мне 50GB (именно столько свободно для использования позлователем) хватает по-уши. Камера. За свои деньги, камера радует, но при недостатке освещения изображение превращается в мыло. Радует то, что есть ночной режим. Производительность. Если сравнивать с Xiomi и их MIUI 10 (10.2 и другие), то EMUI - установленная здесь, работает намного плавнее и удобнее, без лагов и фризов. Что касается процессора, он тоже радует. Kirin 710 - в PUBG на средних настройках играть удобно","Яркость экрана. На улице, при солнечной погоде, максимальной яркости экрана может быть недостаточно, так как максимальный запас яркости не большой. Монобровь. Нет, минус не в самой моноброви, а то, как она работает с определёнными приложениями. К примеру, Clash of Clans - если на уровне брови поставить затемнение, то всё равно в игре будет небольшое расстояние от края. Это немного не приятно, но не критично"
2486,"Дисплей, камеры, процессор, батарея, дизайн.",Кнопка включения и выключения расположена слишком низко. 
2487,"Качество фото, оперативка, батарея, процессор. Ну и цвет у меня градиент, очень красиво.",Пока не выявил
2488,"Топ процессор, игры летают живёт дня 2 при активном использовании 
в режиме ультра энергосбережения живёт 200 часов зарядка-флэш",Нету
2489,"Нравится все.Звух хороший, с двух динамиков. Фото не хуже чем на 6.Можно заряжать с беспроводной.",Хотелось бы АКБ  побольше
2490,Камера ,Хрустит корпус визжит процессор слабая батарея
2491,"Производительность, удобность, водонепроницаемость, Камера, компактность","Экран похож на 6,6s,8,батарея"
2492,"Шустрый, красивый (что в последствии не будет иметь смысла)","Стекло на основной камере выпирает, из-за чего очень быстро царапается, не прошло и недели пользования, чехол в данной ситуации не спасает.  По красоте, она сходит на нет если надеваешь чехол и клеишь защитное стекло.  На самом экране уже через две недели начали появляться потертости на краях что очень сильно раздражает, а стоило пару раз положить в карман джинсов. (сдал в тех центр, жду что скажут по этому поводу).   Ценник сильно завышен! Nokia 8 сейчас можно за 23тыс купить, а тут 28 отдавать за стекло которое через пару недель уже никакое...  Батарея не такая уж хорошая, да, хватит с утра до вечера при активном пользование.  И да, через две недели вышел из строя адаптер питания, так же сдал по гарантии...  "
2493,После последнего обновления все исправили.,Сканер 
2494,"Не тормозит и не виснет, прост в использовании","На морозе не работает при минус 15, "
2495,"дисплей, задняя крышка","камера, ужасный вырез с айфона"
2496,"Нет лагов и тормозов, камера выше всяческих похвал. Автономность очень хорошая.","Не нравится что аппарат снимает 4к видео всего 10 минут, ЦЕНА."
2497,Батарея отличная.На нем играть вообще кайфово,Отпечаток медленнее работает 
2498,"Покофон ф1,быстрый, хорошо держит заряд,хороший дисплей","Челка, материалы корпуса"
2499,"Проц, пластиковая задняя крышка + вытекающими отличный прием связи, большой АКБ.",На данный момент тач все так же странно себя ведёт.
2500,"Дизайн, связь, быстродействие, экран, память, камеры. Всё идеально. ","Стеклянный корпус, конечно красиво, но без чехла можно разбить. Много раз ронял. "
2501,Он все один сплошной плюс..... ,Не обнаружил. 
2502,"Шустрый, громкий, яркий, много памяти, есть nfc. Обновляется. Есть PlayMarket","Через год использования вздулся аккумулятор, запчасти есть не везде, всё под заказ"
2503,Вот у меня нокия 3 вот собираюсь взять нокия 4 или 6 какой посоветуете мне взять ,Минусы ноль не вижу дороже брать
2504,Хороший яркий экран,Нет
2505,Дизайн четкость ,Не нашел
2506,Супер ,Нет
2507,Надежный,Не нашел
2508,все тоже,ни чего нормального
2509,"Цена, неплохая камера, 4 гигабайт оперативки, встроенная память 128 гигабайт, nfc, экран, оптимальная диагональ экрана. 10-й Андроид",Пока нет. 
2510,"Замечательная вещь: шикарная камера, прекрасный звук, объемная батарея",За полтора года использования не нашла
2511,"Плюсы во всём. Кнопка Home тактильная, очень понравилась. Зимой использую перчатки, на которые реагируют сенсорные экрана и подобные кнопки. Также эргономичность всегда на высоте у Apple, относительно остальных конкурентов. Акб порадовал более чем. Оптимизация системы на высоте, как и всегда. &quot;Вёдра&quot; с акб больше, чем у 7 plus, работают меньше по времени. Камера достаточно качественная, портретной съёмкой не пользуюсь. Мощности &quot;железа&quot; предостаточно для всего абсолютно. IP67 прекрасная вещь. ",Нет (моё мнение)
2512,32гб памяти. Taptic Engine. Стерео. Производительность. ,Сомнительная &quot;влагозащита&quot;. Батарея. Оптимизация. Touch ID. Цена. Мини-джек.
2513,"Экран, скорость работы, камеры хорошие. Дизайн тоже ничего. Есть NFC! ","Звук в динамике ужасный. Слушайте перед покупкой. После айфона очень расстроило. Ну и не тайп си, а обычный микро юсб. Вроде мелочь а неприятно"
2514,"Стильный дизайн . Корпус из цельного алюминия . Обновление андройд с 7.1 до 9.0 и так далее . Голый андройд . Разблокировка по лицу ,голосу и пальцу .Аккумулятор 3000 mA .Крепкий телефон  в душе Нокиа . Использую два года нареканий и предирок нет .",Отсутствуют . 
2515,"Голый андроид, дизайн, для своей цены достойное качество, пока что лучшая поддержка(правда только на английском), обновления приходят поддержку не бросают. Андроид 8.",Временами подвисает когда запущено много приложений...после обновление рекомендуется делать аппаратный сброс...может подлагивать
2516,"Быстрый, 128 гб памяти, топовая камера на рынке - настоящий инновационный телефон.","Без чехла страшно носить, а с чехлом - некрасиво."
2517,Хорошее железо,как и все Ксиаоми начал люто тупить ровно через год после покупки
2518,Очень быстрый телефон во всех смыслах,"Плохая камера,динамики и нет  русских букв в наборе номера"
2519,все отлично,не глобалка
2520,"Ночная съёмка выдает очень красивые снимки. Наверное, лучшая камера для темного времени суток.
Автономность выше всяких похвал. В конце дня, при активном использовании, остаётся минимум 50% заряда.
Очень быстрый сканер отпечатка пальцев. Кому больше нравится, есть и сканер лица. Тоже быстрый.
Дизайн. Несмотря на кивки в сторону айфона, для меня дизайн удачный.
Все задачи выполняет на высокой скорости. Оперативной памяти хватает для множества приложений.
Есть Инфракрасный порт. Очень удобно! Пригождался несколько раз за пару месяцев пользования. Не всегда можно найти его во флагманах!","Камера немного пересыщает цвета при дневной сьемке. Даже при отключенном искуственном интеллекте. Решается, наверное, переходом в про режим. Но хочется, чтобы перенасыщение скорректировали при обычном режиме в будущих обновлениях. Ждём андроид 9.0

GPS хотелось бы, чтобы работал быстрее и плавнее. В kirin 980 скорее всего будет круче.
Нет стабилизации видео в 4k.
Защита от воды ip 67. Хочется всё-таки 68.
Нет входа для наушников 3,5 mm. Но с учётом развития беспроводных наушников,
для меня это незначительный недостаток.
"
2521,"Батарея 
Скорость
Качество камеры","В замедленной съёмке в искусственном свете - ужасное качество 
"
2522,"Большой экран, достаточно дешевая для такого устройства цена, 4 камеры, одна из них на 64мп, а фронталка 20мп","Это скорее не минус, а небольшое неудобство, заключается в том, что если вы будете покупать на телефон защитку, то не будет видно часть экрана по бокам"
2523,"Отпечаток срабатывает моментально, хорошая камера,  приятный внешний вид, ","Цена завышена. По большому счёту,  кроме камеры, ничего нового. Все то же самое, что и в Samsung S7 edge. Даже аккумулятор тот же."
2524,"Отличная камера с ии, отличный прочессор - производительный, тащит все что есть на рынке, отличный экран. ",Не выявил
2525,"Металлический корпус, чистый андроид, проработанная начинка","Камеры не дотягивают до заявленного уровня, не очень надёжная фиксация разъема usb"
2526,"Большой экран, фейс айди, удобно лежит в руке, быстрый, отличное качество фото",Не нашла
2527,Отличные камеры. Отличная батарея. Солидный внешний вид. Отличный телефон! ,Трещина на экране. В продаже нет экранов с функцией отпечатка пальца. 
2528,"Дисплей, Камера, Производительность, Память. Нет раздражающих бровей-козырьков.",Нет недостатков.
2529,"удобство ОС, великолепная камера-максимальная точность цветопередачи, при естественном освещении","не самая мощная батарея, есть искажения по цвету при искусственном освещении"
2530,"Отличная камера, быстрая зарядка, отличный процессор, не знает зависания. Хороший экран ","Нет ИК порта, нет беспроводной зарядки. "
2531,всё огонь!),"к размерам не много привыкал после айфона 6с,а так всё огонь!)"
2532,Для такой ценя наворотов хвотает,Пока не выявил
2533,- мощный аккумулятор  - хорошие фотоснимки - можно играть на максималках,не нашел
2534,Телефон хорош,"Нельзя ничего скачать с плей маркета, ни чего не обновляеться, не советую покупать. "
2535,"Камера, динамика, экран(качество и размер), производительность супер. Фронтальная камера очень порадовала.",Цена
2536,"Камера, экран, в руке лежит просто супер, все работает на ура",Пока не выявлено
2537,Все супер,Их нет
2538,Его скорость и качество. Первый раз на OnePlus. Гнездо 3.5 аудио- да пользуюсь. 2 симки. 128 GB. Эта же камера и у всех повых.,Батарея и недостаток карты памяти
2539,внешний вид,"просто очень сильно быстро садиться батарея, я уже молчу если телефон работает в мобильном интернете, "
2540,Многофункциональный гаджет. Соответствует описанию. Довольно приличные фотки выходят.,"Недостаток как у многих, это аккумулятор. Был бы помощнее раза в 1,5 - 2 цены ему бы не было."
2541,"Устройство не самое мощное, но в повседневной жизни вполне удобно. Отличается своей высокой прочностью","Небольшой объём свободной памяти, плохая камера.
"
2542,"Практичный, неубиваемый аппарат. Вообще без глюков.Камера конечно же просто КОСМОС! ",Цена сразу после презентации немного завышена. 
2543,удобство и привычка использовать,"Постоянно разряжен, даже, когда не использую"
2544,Телефон выглядит красиво и стильно. Оригинальный цвет (у меня матовый индиго). Живет больше суток при средней нагрузке.Очень удобный и практичный. Много полезных функций. Сразу покорил своим внешним видом. ,Не выявил
2545,Одни плюсы!,Нет
2546,"Отличный телефон, камера просто супер! Цена - качество. ",Нет. 
2547,Хорошая  камера ,Звук в наушниках дерьмо 
2548,"Был Хонор 8 , очень доволен. Купил Хонор 10",Через полтора года на Хоноре 8 сломался динамик
2549,"Самое лучшее качество съёмки, которых я не могла добиться даже с проф.фотокамерой. Отличная батарея, которая держит и GPS постоянно, и блютуз и в общем всё что можно включить в среднем 2-3 дня.. Очень оргаеомичный дизайн и великолепно сидит в руке. Отклик на любую команду шикарный, отличный звук да и в остальных мелочах ни одна го минуса.... ",Нет! 
2550,"Мощный процессор, оптимальная диагональ экрана, быстрый сканер отпечатков. ",Заводской брак ( камера &quot;дрожит&quot;) 
2551,"Экран огромный, яркий, вытянутый и не изогнут по бокам - идеально для просмотра фильмов. 120Hz не сразу заметишь, но после этого уже тяжело листать ленту на экране с 60Hz - не та плавность.
Производительность на высоте. 
Автономность сильно выросла в сравнение с S10+. Хотя при максимальных настройках аппарат не доживает до 10 часов активного использования.
В камере впечатлили зум, а также широкоугольная и ночная съёмка ","Смартфон сильно толще и тяжелее по сравнению с S10+.
Нет разъёма для наушников - лично меня это ограничивает в возможностях (хотя комплектная гарнитура хороша).
Качество зума приемлемо до х30. Далее идёт сильная зернистось. Автофокус и стабилизация видео также не сильная сторона S20 ultra"
2552,"Телефон просто супер, доволен обсалютно всем, пользуюсь уже пол года и с каждым разом он все больше и больше нравится. Долго сначала не мог определиться между 8х и 10 и всё таки решил взять 8х и вообще не пожалел и вам рекомендую кто ещё не приобрёл ",Жалко что в комплекте нет ????. 
2553,Компактный. ,Глючит сенсор. Тормозит. Оперативная память не переключается на СД карту. Плохо ловит мобильный интернет. Надо постоянно переключать с 2 на 3 или на 4 G. А так нажимаю на мобильные сети и только после этого включается. На холоде вообще быстро разряжается. До нуля. Надо после этого полностью заряжать аккумулятор.
2554,"Самый быстрый телефон из всех что я пользовался, шикарнейшие видео","Фронтальная камера не топ. Хороша, но не топ"
2555,"Камера, память, скорости",Аккумулятор желательно побольше емкость
2556,"Если кто то хочет хороший телефон, что б в нем было все - это на мой взглад один из лучших вариантов. Пользуюсь с апреля , всем доволен!",Не нашел
2557,"Отличная камера, скорость работы. Вообще пересел на huawei 2 года назад. Отличный телефон. Собран на 5 из 5. Сложно после него купить другой телефон. Яблоко чуть ограничено функционалом. ",Неудобное расположение кнопки смайлов на клавиатуре(но это изменяемо) и не всегда точно срабатывает подэкранный сканер отпечатка. 
2558,"Цена, долго держит заряд батареи. ",Через 8 месяцев начал притормаживать и глючить 
2559,"Хорошая камера, экран 6.53 без скошенных углов, работа телефона на высоте, при покупке в декабре 2018 антуту был №1, даже обогнав своего собрата про версии. ",Нету
2560,"Имя. Ничего лишнего. И ничем не уступает никому.
И главное, безлимитное облако в Google",Нет радио. Нет функции &quot;  снять фото или видео &quot; от голоса
2561,"Все прекрасно. За его цену - замечательный телефон. Есть даже оплата по карте Андроид Пэй, чего нет у многих других более дорогих моделей","Не нашел, разве что только отпечатки собирает. Это решается обычным силиконовым чехлом - за книжку я бы не стал переплачивать так как стекло у него великолепно все держит."
2562,"Телефон хоть и не флагман, но соотношение цена-качество более чем адекватное. Пользуюсь примерно полгода, всё ОК. ","Звук динамика не очень, но это пох, это же не колонка"
2563,"быстродействие, хорошая батарея, качественное фото, отсутствие зависаний - главное",дорага ;)
2564,"100% Работоспособность,отсутствие каких либо глюков.",Преимущественно платный контент.
2565,Very good,No
2566,Все работает надежно.,"Если ты забыл пароль- капец. хочется больший экран, хотя бы чуть -чуть."
2567,"Дизайн, цена, подарки припокупке.
Лучшее соотношение цена качество. ","Минусов нет, но если придраться то могли бы добавить ИК порт, для управления бытовой техникой.не совсе модели кладут чехол, а найти его не всегда можно. "
2568,"Водонепроницаемость, идеальная операционная система, идеальный классический и очень солидный дизайн. Привлекательная цена (он стоит своих денег).","Автономность оставляет желать лучшего. Если вы любите музыку, то без AirPods вам не обойтись (в комплекте их нет). "
2569,"Удобная система, нет тормозов и лагов, быстро работает. Простой и понятный. Никаких проблем с тем, чтобы поставить какую-либо музыку на звонок. Красный цвет - прекрасен.",Единственный минус - аккумулятор. Каждый день заряжаю.
2570,"Быстрый, мало греется, отличная камера",Стеклянная задняя панель 
2571,"прочный корпус, отличный внешний вид, шустрый , качественный софт, хорошая камера ",подлагивание операционной системы
2572,"Шустрый процессор, пределов оперативной памяти не ощутил, встроенной памяти мало, но слот расширения спасает. Программная оболочка не тормозит, камера огонь. Сканер отпечатка достаточно быстро реагирует на касание. Телефон очень хорош. ",Ёмкость аккумулятора в 3000мАч не может обеспечить день активной эксплуатации
2573,"Камера, дизайн, автономность, экран",Не нашел. 
2574,"Отличное устройство, отличная камера",Android единственный минус
2575,стабильная работа,нет
2576,Камера. Автономность. Работоспособность. ,Нет
2577,Камера,Появились царапины на экране через неделю. Очень низкого качества защита экрана. Предлагают защиту за 6т.руб. - слишком дорого. 
2578,Отличный телефон,Нет
2579,Хороший,Берегите тачайди! Небольшая трещинка выводит из строя устройство целиком с последующей заменой всей передней части (ремонт обошёлся в 19К) 
2580,"Пользовался до этого яблоком и xiaomi. По соотношению цена качество это лучший телефон. За год ни одного зависания. Ни одного глюка. Камера на высоте, что помогало в споре с владельцами иксух и гэлэкси,)) после многочисленных падений ни разу не треснул экран( привет им же) ","Неудобство чисто программное. После сохранения контакта, нужно искать его в тел книге. На xiaomi он временно отображается вверху списка вызовов. Больше проблем не выявлено. "
2581,"Изумительная камера, прекрасный безрамочный экран, стереозвук, отсутствие тормозов.","Ценник жуть, если бы не акции со скидками по трейд-ин, не купил бы себе."
2582,"Красивый, удобный, мощный, экран яркии, камера отличная, четкие снимки делает.","С 9 утра до 23.30 батарейка садиться со 100% до 9% 
То есть хватает ровно на почти на часов 13-14 частого пользования."
2583,"Отличная камера, неплохая батарея, шустрый во всем",Нет
2584,наконецто  есть функция апл пэй)  в магазинах   шопинг делаю и в ресторанах  ,минусов не нашел так как у меня в   второй еще айфон не разобрался)   батарейка быстро садится на золотом айфоне когда играеш слушаеш музыку сидиш в интернете черес 3g на сутки не хватает купил себе аксесусар   зарядку  дешевую 
2585,"Хорошая камера, цена",Не нашел
2586,"Почти чистый андроид,идеальная производительность,широкий функционал.",Монобровь
2587,Они есть ,"Нет NFC  За два года использования батарея стала очень слабо держать . Как только кончилась гарантия начал хрипеть динамик , музыку слушать не возможно . "
2588,"Никаких преимуществ нету, помойка редкостная! Такие деньги отдал.... ","Батарея очень слабая, камера вечером вообще не снимает, глючит в тяжёлых играх видимо из за процессора, кнопка хоум полусенсорная сломалась, беда в не телефон"
2589,После андройда летает !все удобно !!!,Стоимость !нельзя скачать фильмы не подключившись к компу (хотя все равно смотришь онлайн )за год использования не замарачивался скидывать фильмы !
2590,"Большой и яркий экран, долгоиграющая батарея, достаточно памяти, громкие два динамика, можно сильно увеличить размер значков приложений на рабочем столе.","-На большом поле экрана при звонке фография контакта в кружочке 3 см., а ФИО в одну строчку и не вмещается на экране, - нельзя скопировать часть текста из сообщения, а только сообщение целиком, - нет виджета фонарика, при включении камеры фонарик выключается, а режима постоянной включения подсветки(вспышки) при фотосъемке нет, - после обновления до Android 9 стало неудобно включатьвыключать вспышку в режиме фотосъемки, сначала кликаешь по стрелке, потом всплывает на три секунды строчка с тремя очень мелкими значками по которым стоя на улице в готовности к съемке нужно еще успеть пальцем попасть, иначе строчка убирается, аналогично с выбором соотношения сторон кадра, -- во время видеосъемки выключить звук на время, например, чтобы пропустить ругательства проходящих рядом людей, - нет такой возможности, - почему-то нет отдельной кнопки поворота картинки в галерее, её еще найти нужно поискать в меню, - никак не убирается, появившееся после обновления, настойчивое предложение предоставить всем друзьям общего доступа к данным вашего профиля, похоже компании Самсунг очень нужно, чтобы этот общий доступ был предоставлен, - после более полугода использования телефона, система распознавания лица и радужки так и не смогла научиться распознавать лицо в темноте или при плохом освещении, -неудобно отключать USB-flash перед извлечением, теперь после обновления до Android 9, приходится искать как отключить, а раньше было достаточно провести пальцем вниз по строчке с уведомлением о подключенной флэшке, - после обновления до Андроид 9, телефон стал заметно медленнее работать, при том что ранее никаких подтормаживаний не замечалось, видимо это нужно, чтобы владельцы S9+ бежали покупать S10, - после обновления до Андроид 9, флагман 2018 года Samsung лишился возможности записать часть или весь разговор с собеседником, теперь как в Айфоне вы сможете записать только свою речь, голос собеседника практически не слышен, а запись даже вашего голоса может прерваться в любой момент, причем при использовании любого приложения для записи."
2591,Владею телефоном год работает без проблем ,Нет
2592,Все понравилось особенно камеры!!! ,В процессе эксплуатации проявился заводской брак экрана зазеленение справа сдал обратно на проверку качества жду ответа. 
2593,"Семерка,самый удачный телефон от apple ",Не выявил
2594,Всё,Нет
2595,"Быстрый. Чёткая камера. Игры работают на высоких частотах. Ни разу не зависал. Пользуюсь 6месяцев. Отпечаток пальца ни разу не отказал. Работает чётко. Ни разу не пожалел что я его купил. Очень хороший и мощный телефон.
Цена очень хороша для него. И даже получше каких либо айфонов 
",Нету 
2596,"отличная камера, компактный .Дизайн впечатлил .",Пока не обнаружила))
2597,"Экран, звук и в наушниках и через динамики, скорость работы, NFC, металлический корпус","Камера выпирает, скользкий"
2598,"Аккумулятор, Android чистый, Хорошее стекло, динамик сравним с iphone SE.Две сим карты и карта памяти.","Тормоз! Не хватает оперативной памяти! Дисплей 720p, ненаэкранные кнопки управления, сканер неудобный, камеры ужасные, и в основном по мелочам он раздражает, например, при подключении зарядного устройства издает неотключаемый и слишком &quot;китайский&quot; звук. Если родственники спят ночью - это прям бесит!"
2599,"Камера, быстродействие,экран",Ёмкость аккумулятора не соответствует заявленной.
2600,нормуль,батарея садиться быстро
2601,"Плюсы во всём . Экран, быстродействие, камера вообще шикарная.",Один минус!!! Царапаеца корпус в чехле &quot;Nilkin&quot; и попадает пыль между корпусом и экраном когда в чехле. 
2602,"Всё летает, функционал, нет челок(буквально) хорошо ловит сигнал по сравнению с самсунгом.(сравнивал), хороший объем батареи. Т.к. с ним плавать не планирую герметичность не так принципиально. нет проблем с гугл сервисами, мне нравится. ","пока испытываю некоторые проблемы с чехлом кошельком на него т.к. пока не могу найти, "
2603,"Качество во всем, звук, экран, материалы, камера, батарея. ",Нет 
2604,"летает очень быстро, практически не думает особенно мне после 5s ))  камера супер и задняя и передняя. связь отлично",глючит при передаче с галлереи по ватсапу более 5 фото на игре асфальт 8 подвисает изображение очень редко
2605,"Замечательная камера, батарея на полтора дня, быстродействие.",Скользкий и маркий.
2606,"Главным плюсом этого устройства является его главная камера, мощная производительность, долгий заряд акаммулятора","Минусами же является то, что при обновлении на новую iOS , в которой говориться о увеличении производительности устройства, телефон начинает Мега сильно греться под камерой(где процессор) до этого он тоже грелся но не так сильно; весь интерфейс со временем начинает глючить( не так уж чтобы и сильно, но все же), при подключении устройства к хранилищу iCloud, при условии что вы находитесь в сети меньше 3g, память телефона не будет отображаться правильно в связи с потерей сигнала с сервером при ежедневном обновлении и переносе фото в это хранилище; а плюсом глюков является то что я теперь могу пользоваться VIP доступам ко многим играм( ну и по глюку в играх это)"
2607,"Дизайн, влагозащита, камера","Перенос данных, обмен данными между приложениями, подвисает, слабый аккумулятор, часто не логичное управление: приходится постоянно искать в интернете как от него что то добиться или как настроить что то, не интуитивно понятное управление. Но главное слабый прием сети, особенно LTE, 4G."
2608,"Достойный аппарат. Раздельные слот (2 sim + карта памяти. NFS. Вес
",Отсутствие сервисного обслуживания в РФ - возникла техническая проблема. Через продавца 3 раза передавался для проведения гарантийного ремонта с сервис. 3 раза возвращали с формулировкой &quot;дефект не обнаружен). 
2609,"Для своей цены, отличный аппарат, хорошая камера, много памяти, отличная работа приложений, хорошо держит заряд аккумулятора, нравится цвет передача, сканер отпечатка пальцев работает как часы, NFC есть и тоже без нариканий, пользуюсь с ноября 2019.",Не обнаружил 
2610,"Камеры - однозначное преимущество этой модели в данном классе. Разумеется, топовые Хуавеи и Сяоми имеют камеры посерьезней, но и у &quot;двадцатки&quot; все же достойнейший набор. А если еще и руки прямые, то и без использования ИИ (а его работа, кстати, тут очень неплоха) в профи-режиме можно добиться еще более качественных фото. Кстати, в этом режиме аппарат умеет сохранять фото в RAW-формате. Ну, в конце концов, это все же флагман марки (Хонор 30-то еще не представлен). Говорю как человек, использующий до сих пор вторым аппаратом Нокиа 808 ПьюрВью - а людям знающим не надо рассказывать, что там за фоточасть и почему этот аппарат в ручном режиме съемки до сих пор не превзойден по качеству и детализации снимков.  Второе преимущество - очень разумное расположение сканера отпечатков пальцев: в кнопке включения посередине правой боковой грани аппарата.  Третье - конечно, цвета задней крышки. Реально завораживают, что мерцающий бирюзовый, что фиолетовый. Особенно фиолетовый - совершенно мистическое ощущение. Оба цвета, кстати, &quot;живьем&quot; выглядят куда более впечатляюще, чем на фото и видео.  Ну и еще - но это уже достоинство оболочки, а не собственно аппарата - очень грамотная автоматическая оптимизация ресурсов системы и батареи.","Только один - и это тоже недостаток скорее оболочки: если в  настройках СМС-сообщений включить использование &quot;умных уведомлений&quot; - когда телефон никак не отмечает приход сообщения, а только отправляет его в строку уведомлений, - а потом выключить, то КАЖДОМУ адресату придется настраивать индивидуально звук и вибрацию. Может, это глюк конкретного аппарата, но факт есть."
